type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,ph,sulphates,alcohol,density,quality_grade
white,8.49,0.502,0.381,9.35,0.0614,3.194,0.589,12.17,0.99532,Medium
white,9.66,0.36,0.279,8.88,0.0649,3.038,0.403,10.28,0.99702,Low
red,7.88,0.577,0.291,4.56,0.09,3.1,0.459,10.14,0.99915,Low
white,5.55,0.325,0.107,12.8,0.0481,3.174,0.503,11.82,0.99567,High
white,4.54,0.393,0.178,6.75,0.0733,3.174,,9.74,0.99786,Low
white,6.73,0.371,0.253,7.42,0.0634,3.395,0.424,10.74,0.99744,Medium
red,8.05,0.526,0.229,9.58,0.1008,3.188,0.793,9.64,0.99787,Low
white,6.28,0.354,0.324,12.71,0.0718,3.478,0.346,13.05,0.99424,Medium
red,8.64,0.565,0.38,16.84,0.0781,3.135,0.833,12.82,0.99445,High
white,7.43,0.311,0.582,8.4,0.0558,3.264,0.565,10.28,0.99649,High
red,8.76,0.496,0.308,4.59,0.0916,3.353,0.708,10.95,0.9966,Medium
white,6.65,0.511,0.444,8.03,0.0328,3.379,0.634,10.41,0.99654,Medium
white,5.79,0.611,0.21,5.75,0.0331,3.397,0.604,10.03,0.9976,Low
white,7.73,0.22,0.109,5.37,0.0305,3.159,0.729,10.53,0.99567,High
white,7.01,0.214,0.268,9.4,0.0484,3.199,0.4,10.36,0.99687,High
red,9.38,0.424,0.118,4.42,0.075,2.828,0.571,8.8,0.99954,Low
white,7.87,0.33,0.312,6.86,0.0285,3.171,0.428,10.68,0.99625,Medium
white,5.44,0.43,0.216,8.83,0.0522,3.364,,10.36,0.99839,Low
red,6.82,0.579,0.075,6.28,0.0786,3.335,0.511,10.73,0.99655,Low
red,7.57,0.537,0.518,5.01,0.0977,3.187,0.815,10.32,0.99672,Medium
red,7.24,0.573,0.245,5.08,0.1102,3.455,0.569,10.02,0.99715,Low
white,7.83,0.271,0.113,7.59,0.0568,3.142,0.768,11.32,0.99559,High
white,7.39,0.316,0.418,10.98,0.0396,3.093,0.78,10.96,0.99441,High
white,8.21,0.338,0.223,7.28,0.0597,3.13,0.889,11.87,0.99617,High
red,8.84,0.362,0.441,3.32,0.0801,3.032,0.819,10.92,0.99821,High
white,7.23,0.224,0.222,7.5,0.0464,3.293,0.813,10.19,0.99732,High
red,9.72,0.408,0.245,6.06,0.0671,3.243,0.629,11.05,0.9966,High
,7.52,0.416,0.351,11.24,0.043,3.291,0.557,8.32,0.99841,Low
red,8.47,0.545,0.381,13.83,0.0773,3.138,0.625,12.61,0.99575,High
white,8.63,0.401,0.402,8.85,0.0621,3.191,0.53,10.69,0.9964,High
white,7.13,0.156,0.299,15.03,0.0577,2.873,0.548,12.69,0.99488,High
red,8.07,0.372,0.373,3.92,0.1074,3.256,0.68,9.49,0.99611,Medium
white,6.08,0.406,0.399,6.8,0.0601,3.215,0.474,9.23,0.99728,Low
white,7.77,0.062,0.334,9.97,0.0564,3.035,0.365,10.78,0.99669,High
red,9.76,0.642,0.293,7.32,0.0754,3.184,0.634,10.78,0.99717,Medium
red,8.34,0.338,0.137,5.95,0.0644,3.161,0.507,10.76,0.99722,Medium
white,8.44,0.424,0.382,24.28,0.0415,,0.459,10.6,0.9951,Low
red,6.23,0.431,0.315,4.02,0.0695,3.041,0.573,9.74,0.99596,Medium
red,8.34,0.625,0.26,10.56,0.0416,,0.545,8.84,0.99863,Low
white,6.96,0.661,0.463,6.85,0.0349,3.036,0.663,10.7,0.99576,Medium
white,6.2,0.113,0.139,10.84,0.074,3.116,0.51,9.05,0.99872,Medium
red,11.02,0.59,0.507,5.52,0.0855,3.242,0.729,8.95,0.99654,Low
red,8.33,0.339,0.307,6.17,0.0744,3.168,0.615,10.0,0.99697,Medium
white,6.55,0.383,0.348,10.01,0.056,3.199,0.519,10.85,0.99626,Medium
white,7.03,0.319,0.263,8.83,0.0207,3.25,0.549,12.49,0.99525,High
